line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,5.587972898176027
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.121609823415032
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.121609823415032
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.20053752407747
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.903479087592839
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,19.709447777351446
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-20.01441742299566
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.121609823415032
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,15.253502390640058
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.883029158883643
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,13.740576840109561
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-8.370350023955325
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.7172436915593932
2,14,T2 + H$_2$O,True,True,False,bottom,2.5,#204195,#204195,o,16-t2-h2o,-2.7491193832016014
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,22.448527007614725
2,18,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,6.245602653389124
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,9.711965728150119
2,22,T3,True,True,False,bottom,3.5,#204195,#204195,o,19-t3,-9.170424713011364
2,24,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,11.286386950755286
2,26,T4,True,True,False,bottom,1.5,#204195,#204195,o,21-t4,-9.801071821090536
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.334708746329541
2,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,#b65a85,#b65a85,o,15-t2,-8.370350023955325
3,12,T2-T3RH,True,True,True,bottom,1.5,#b65a85,#b65a85,o,56-ts-t2-t3rh,13.94765499546121
3,14,T3RH,True,True,False,top,-1.5,#b65a85,#b65a85,o,57-t3rh,-9.805464387787033
3,16,T3RH-T3OB,True,True,True,top,-2.5,#b65a85,#b65a85,o,58-ts-t3rh-t3ob,-1.7651843929631614
3,18,T3OB + R-H,True,True,False,top,-1.5,#b65a85,#b65a85,o,59-t3ob-rh,-9.441508842916779
3,20,T3OB + R-H // T3OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-5.975145768155784
3,22,T3OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,60-t3ob,-13.653353011386548
3,24,T3OB // T3OB + H$_2$O,False,True,True,bottom,1.5,#b65a85,#b65a85,x,diffusion,-10.186989936625553
3,26,T3OB + H$_2$O,True,False,False,top,-1.5,#b65a85,#b65a85,o,61-t3ob-1h2o,-18.19840475613894
3,28,T3OB + H$_2$O // T3OB + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-8.692262163795144
3,30,T3OB + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,64-t3ob-2h2o,-12.158625238556139
3,32,T3OB-2H$_2$O-T4OB,True,True,True,top,-3.5,#b65a85,#b65a85,o,65-ts-t3ob-2h2o-t4ob,6.9440207935166125
3,34,T4OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,66-t4ob-1h2o,-16.37799952201501
3,36,T4OB + H$_2$O // T4OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-12.911636447254015
3,38,T4OB,False,True,False,top,-1.5,#b65a85,#b65a85,o,63-t4ob,-17.745970363000346
4,26,T3OB + H$_2$O,False,True,False,top,-1.5,#8000ff,#8000ff,o,61-t3ob-1h2o,-18.19840475613894
4,32,T3OB-H$_2$O-T4OB,True,True,True,bottom,1.5,#8000ff,#8000ff,o,62-ts-t3ob-1h2o-t4ob,12.813117710577222
4,38,T4OB,False,True,False,top,-1.5,#8000ff,#8000ff,o,63-t4ob,-17.745970363000346
5,38,T4OB,True,True,False,top,-1.5,black,black,o,63-t4ob,-17.745970363000346
5,40,T4OB // PDT,False,True,True,top,-1.5,black,black,x,diffusion,-14.279607288239351
5,42,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
