structure,qh-G(T)_SPC
00-lpdoh2,-1750.6331235
01-rxt,-2311.775302
03-c1,-2311.758135
05-c2,-2311.811421
09-c3,-2135.89803
11-c4,-2135.865649
13-t1,-2311.775358
15-t2,-2311.790491
16-t2-h2o,-2388.146373
18-t3-boh3,-2388.160315
19-t3,-2135.890784
21-t4,-2135.88986
59-t2-2h2o,-2464.508673
61-t3ob-2h2o,-2464.516287
62-t3ob-h2o,-2388.161048
63-t3ob,-2311.798272
65-t4ob,-2311.802002
67-t4ob-h2o,-2388.167648
69-t4-boh3,-2388.169221
70-t4ob-2h2o,-2464.521808
72-t4-boh3h2o,-2464.527516
74-t5ob-rh,-2311.796369
75-t5ob,-1926.516655
76-t5ob-1h2o,-2002.889298
78-t6ob,-2002.889048
79-t5ob-2h2o,-2079.247471
81-t6ob-1h2o,-2079.254159
84-t3-boh3h2o,-2464.521026
100-l2pd2oh4,-3501.266247
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naph-c,-385.286152
naph-t,-385.286152
