line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0.0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1.0,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,8.61037269491665
0,2.0,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,5.144009620155655
1,2.0,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,5.144009620155655
1,3.0,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.358356178255068
1,4.0,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,15.916466240597087
1,5.0,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,20.54246671862872
1,6.0,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-17.521008185976378
2,2.0,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,5.144009620155655
2,3.0,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,17.758834308774222
2,4.0,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,5.108869084300811
2,5.0,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.807029338058904
2,6.0,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.387233090574792
2,7.0,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.930529601929227
2,8.0,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.4641665271682327
2,11.33333333,T2-T3,True,True,True,bottom,4.5,#204195,#204195,o,17-ts-t2-t3,14.960141670653675
2,14.66666667,T3 + B(OH)$_3$,True,True,False,bottom,2.5,#204195,#204195,o,18-t3-boh3,-5.284571761862883
2,18.0,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.818208687101888
2,21.33333333,T3,True,True,False,bottom,2.5,#204195,#204195,o,19-t3,-7.089289256806669
2,24.66666667,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,14.333259620069052
2,28.0,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.509470423191772
2,30.0,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
2,32.0,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,8.0,T2 + H$_2$O,False,True,False,top,-1.5,#b65a85,#b65a85,o,16-t2-h2o,3.4641665271682327
3,9.0,T2 + H$_2$O // T2 + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,10.754572862157548
3,10.0,T2 + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,300-t2-2h2o,7.288209787396554
3,11.0,T2-T3OB,True,True,True,bottom,2.0,#b65a85,#b65a85,o,301-ts-t2-t3ob,13.918475800734523
3,12.0,T3OB + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,302-t3ob-2h2o,2.5103519957447595
3,13.0,T3OB + 2H$_2$O // T3OB + H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,5.976715070505755
3,14.0,T3OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,303-t3ob-h2o,-5.744536268849145
3,15.0,T3OB + H$_2$O // T3OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-2.27817319408815
3,16.0,T3OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,304-t3ob,-9.269884978306306
3,17.0,T3OB-T4OB,True,True,True,bottom,1.5,#b65a85,#b65a85,o,305-ts-t3ob-t4ob,12.372292244237892
3,18.0,T4OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,306-t4ob,-11.610495638187867
5,6.0,T2,False,True,False,top,-1.5,#8000ff,#8000ff,o,15-t2,-4.387233090574792
5,12.0,T2-T4OB,True,True,True,bottom,6.0,#8000ff,#8000ff,o,307-ts-t2-t4ob,17.00519532748596
5,18.0,T4OB,False,True,False,top,-1.5,#8000ff,#8000ff,o,306-t4ob,-11.610495638187867
14,18.0,T4OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,306-t4ob,-11.610495638187867
14,19.0,T4OB-T5OB,True,True,True,bottom,1.5,#b65a85,#b65a85,o,314-ts-t4ob-t5ob,-4.130581680304196
14,20.0,T5OB + R-H,True,True,False,top,-1.5,#b65a85,#b65a85,o,315-t5ob-rh,-8.075734285565048
14,21.0,T5OB + R-H // T5OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.609371210804053
14,22.0,T5OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,316-t5ob,-12.115640833967296
14,23.0,T5OB // T5OB + H$_2$O,False,True,True,bottom,1.5,#b65a85,#b65a85,x,diffusion,-8.649277759206301
14,24.0,T5OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,317-t5ob-1h2o,-14.781928955713097
14,25.0,T5OB + H$_2$O // T5OB + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.90179066613144
14,26.0,T5OB + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,320-t5ob-2h2o,-8.368153740892435
14,27.0,T5OB-T6OB-6MPS,True,True,True,bottom,1.5,#b65a85,#b65a85,o,321-ts-t5ob-t6ob-6mps,9.018253645075587
14,28.0,T6OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,322-t6ob-1h2o,-12.564937679384006
14,29.0,T6OB + H$_2$O // T6OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-9.09857460462301
14,30.0,T6OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,319-t6ob,-14.625051565623776
14,31.0,T6OB // PDT,False,True,True,top,-1.5,black,black,x,diffusion,-11.158688490862781
14,32.0,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
26,18.0,T4OB,False,True,False,top,-1.5,#2F6800,#2F6800,o,306-t4ob,-11.610495638187867
26,19.0,T4OB // T4OB + H$_2$O,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-6.419736291989663
26,20.0,T4OB + H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,308-t4ob-h2o,-9.886099366750658
26,21.0,T4OB + H$_2$O // T4OB + 2H$_2$O,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,2.512234788451189
26,22.0,T4OB + 2H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,311-t4ob-2h2o,-0.9541282863098054
26,23.0,T4OB-T4-6MPS,True,True,True,bottom,1.5,#2F6800,#2F6800,o,312-ts-t4ob-t4-6mps,18.730846617897782
26,24.0,T4 + B(OH)$_3$ + H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,313-t4-boh3h2o,-4.53595285590235
26,25.0,T4 + B(OH)$_3$ + H$_2$O // T4 + B(OH)$_3$,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-1.0695897811413553
26,26.0,T4 + B(OH)$_3$,True,True,False,top,-1.5,#2F6800,#2F6800,o,310-t4-boh3,-10.873171904710984
26,27.0,T4 + B(OH)$_3$ // T4,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-3.043107348430777
26,28.0,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.509470423191772
26,30.0,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
26,32.0,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
98,24.0,T5OB + H$_2$O,False,True,False,top,-1.5,#8000ff,#8000ff,o,317-t5ob-1h2o,-14.781928955713097
98,27.0,T5OB-T6OB-4MPS,True,True,True,bottom,1.5,#8000ff,#8000ff,o,318-ts-t5ob-t6ob-4mps,12.512226876172456
98,30.0,T6OB,False,True,False,top,-1.5,#8000ff,#8000ff,o,319-t6ob,-14.625051565623776
99,20.0,T4OB + H$_2$O,True,True,False,top,-1.5,#8000ff,#8000ff,o,308-t4ob-h2o,-9.886099366750658
99,23.0,T4OB-T4-4MPS,True,True,True,bottom,1.5,#8000ff,#8000ff,o,309-ts-t4ob-t4-4mps,22.392992411567622
99,26.0,T4 + B(OH)$_3$,True,True,False,top,-1.5,#8000ff,#8000ff,o,310-t4-boh3,-10.873171904710984
