line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,18,T4OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,306-t4ob,-11.610495638187867
0,19,T4OB-T5OB,True,True,True,bottom,1.5,#b65a85,#b65a85,o,314-ts-t4ob-t5ob,-4.130581680304196
0,20,T5OB + R-H,True,True,False,bottom,2.5,#b65a85,#b65a85,o,315-t5ob-rh,-8.075734285565048
0,21,T5OB + R-H // T5OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.609371210804053
0,22,T5OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,316-t5ob,-12.115640833967296
0,23,T5OB // T5OB + H$_2$O,False,True,True,bottom,1.5,#b65a85,#b65a85,x,diffusion,-8.649277759206301
0,24,T5OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,317-t5ob-1h2o,-14.781928955713097
0,25,T5OB + H$_2$O // T5OB + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.90179066613144
0,26,T5OB + 2H$_2$O,True,True,False,bottom,3.5,#b65a85,#b65a85,o,320-t5ob-2h2o,-8.368153740892435
0,27,T5OB-T6OB-6MPS,True,True,True,top,-3.5,#b65a85,#b65a85,o,321-ts-t5ob-t6ob-6mps,9.018253645075587
0,28,T6OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,322-t6ob-1h2o,-12.564937679384006
0,29,T6OB + H$_2$O // T6OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-9.09857460462301
0,30,T6OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,319-t6ob,-14.625051565623776
0,31,T6OB // PDT,False,True,True,top,-1.5,black,black,x,diffusion,-11.158688490862781
0,32,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
1,18,T4OB,False,True,False,top,-1.5,#2F6800,#2F6800,o,306-t4ob,-11.610495638187867
1,19,T4OB // T4OB + H$_2$O,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-6.419736291989663
1,20,T4OB + H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,308-t4ob-h2o,-9.886099366750658
1,21,T4OB + H$_2$O // T4OB + 2H$_2$O,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,2.512234788451189
1,22,T4OB + 2H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,311-t4ob-2h2o,-0.9541282863098054
1,23,T4OB-T4-6MPS,True,True,True,top,-3.5,#2F6800,#2F6800,o,312-ts-t4ob-t4-6mps,18.730846617897782
1,24,T4 + B(OH)$_3$ + H$_2$O,True,True,False,top,-1.5,#2F6800,#2F6800,o,313-t4-boh3h2o,-4.53595285590235
1,25,T4 + B(OH)$_3$ + H$_2$O // T4 + B(OH)$_3$,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-1.0695897811413553
1,26,T4 + B(OH)$_3$,True,True,False,top,-1.5,#2F6800,#2F6800,o,310-t4-boh3,-10.873171904710984
1,27,T4 + B(OH)$_3$ // T4,False,True,True,top,-1.5,#2F6800,#2F6800,x,diffusion,-3.043107348430777
1,28,T4,True,True,False,top,-1.5,#2F6800,#2F6800,o,21-t4,-6.509470423191772
2,24,T5OB + H$_2$O,False,True,False,top,-1.5,#b65a85,#b65a85,o,317-t5ob-1h2o,-14.781928955713097
2,27,T5OB-T6OB-4MPS,True,True,True,bottom,1.5,#b65a85,#b65a85,o,318-ts-t5ob-t6ob-4mps,12.512226876172456
2,30,T6OB,False,True,False,top,-1.5,#b65a85,#b65a85,o,319-t6ob,-14.625051565623776
3,20,T4OB + H$_2$O,False,True,False,top,-1.5,#2F6800,#2F6800,o,308-t4ob-h2o,-9.886099366750658
3,23,T4OB-T4-4MPS,True,True,True,bottom,1.5,#2F6800,#2F6800,o,309-ts-t4ob-t4-4mps,22.392992411567622
3,26,T4 + B(OH)$_3$,False,True,False,top,-1.5,#2F6800,#2F6800,o,310-t4-boh3,-10.873171904710984
4,28,T4,False,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.509470423191772
4,30,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
4,32,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
