structure,qh-G(T)_SPC
00-lpdoh2,-1979.384551
01-rxt,-2540.532744
03-c1,-2540.513061
05-c2,-2540.569909
09-c3,-2364.656565
11-c4,-2364.617721
13-t1,-2540.533328
15-t2,-2540.547276
16-t2-h2o,-2616.896976
18-t3-boh3,-2616.894565
19-t3,-2364.647756
21-t4,-2364.643258
59-t2-2h2o,-2693.275844
61-t3ob-2h2o,-2693.272298
62-t3ob-h2o,-2616.924776
63-t3ob,-2540.556148
65-t4ob,-2540.559324
67-t4ob-h2o,-2616.922873
69-t4-boh3,-2616.924027
70-t4ob-2h2o,-2693.279253
72-t4-boh3h2o,-2693.281991
74-t5ob-rh,-2540.553667
75-t5ob,-2155.269567
76-t5ob-1h2o,-2231.646532
78-t6ob,-2231.647598
79-t5ob-2h2o,-2308.004864
81-t6ob-1h2o,-2308.011841
84-t3-boh3h2o,-2693.261308
100-l2pd2oh4,-3958.769102
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naph-c,-385.286152
naph-t,-385.286152
