I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3958.769102,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2540.532744,True,diffusion-lpdoh2-rxt,1.3698533700179716,0.0
01-rxt,,03-c1,,-2540.501345,True,02-ts-rxt-c1,19.703172681622316,7.351902007634705
03-c1,,05-c2,,-2540.504228,True,04-ts-c1-c2,5.542791945709063,41.21545542545563
05-c2,h2o,09-c3,boh3,-2616.920762,True,07-ts-c2-c3,11.00714519580275,5.1518534891750125
09-c3,,11-c4,,-2364.598475,True,10-ts-c3-c4,36.45203035372401,12.07704899636031
11-c4,,naph-c,00-lpdoh2,-2364.617721,True,diffusion-c4-pdt,0.0,33.24671152017463
01-rxt,,13-t1,,-2540.51119,True,12-ts-rxt-t1,13.525341061137583,13.891806644242417
13-t1,,15-t2,,-2540.517935,True,14-ts-t1-t2,9.659254660694057,18.411758006649006
15-t2,h2o,19-t3,boh3,-2616.866606,True,17-ts-t2-t3,30.78812906298242,33.607529517037634
19-t3,,21-t4,,-2364.614085,True,20-ts-t3-t4,21.128874402288364,18.306336400511263
21-t4,,naph-t,00-lpdoh2,-2364.643258,True,diffusion-t4-pdt,0.0,17.221999880604244
59-t2-2h2o,,61-t3ob-2h2o,,-2693.242757,True,60-ts-t2-t3ob,20.76240881918353,18.53725991866339
63-t3ob,,65-t4ob,,-2540.519947,True,64-ts-t3ob-t4ob,22.716473590083613,24.709443953191656
15-t2,,65-t4ob,,-2540.514422,True,66-ts-t2-t4ob,20.616199091519835,28.176434273195444
67-t4ob-h2o,,69-t4-boh3,,-2616.878848,True,68-ts-t4ob-t4-4mps,27.626108389193565,28.35025442172488
70-t4ob-2h2o,,72-t4-boh3h2o,,-2693.249267,True,71-ts-t4ob-t4-6mps,18.81650167304521,20.53462284875329
65-t4ob,,74-t5ob-rh,,-2540.539245,True,73-ts-t4ob-t5ob,12.5997644597818,9.049942877751498
76-t5ob-1h2o,,78-t6ob,,-2231.604128,True,77-ts-t5ob-t6ob-4mps,26.608915392132914,27.2778405832181
79-t5ob-2h2o,,81-t6ob-1h2o,,-2307.975566,True,80-ts-t5ob-t6ob-6mps,18.384775095555923,22.762909297280675
16-t2-h2o,,18-t3-boh3,,-2616.849928,True,82-ts-t2-t3-4mps,29.523069789614883,28.010144239940463
59-t2-2h2o,,84-t3-boh3h2o,,-2693.211674,True,83-ts-t2-t3-6mps,40.26728847970327,31.145809512408903
15-t2,h2o,16-t2-h2o,,-2616.896976,True,diffusion-15-16,11.73066371884676,0.0
18-t3-boh3,,19-t3,boh3,-2616.894565,True,diffusion-18-19,0.0,16.062989722576397
16-t2-h2o,h2o,59-t2-2h2o,,-2693.26537,True,diffusion-16-300,0.0,6.572535133657259
61-t3ob-2h2o,,62-t3ob-h2o,h2o,-2693.272298,True,diffusion-61-303,0.0,13.097379541142846
62-t3ob-h2o,,63-t3ob,h2o,-2616.924542,True,diffusion-62-304,0.146837236865641,0.0
65-t4ob,h2o,67-t4ob-h2o,,-2616.922873,True,diffusion-65-308,3.0402838192690194,0.0
69-t4-boh3,,21-t4,boh3,-2616.915665,True,diffusion-69-21,5.24723494265979,0.0
67-t4ob-h2o,h2o,70-t4ob-2h2o,,-2693.279253,True,diffusion-67-311,7.538899856538993,0.0
72-t4-boh3h2o,,69-t4-boh3,h2o,-2693.281991,True,diffusion-72-310,0.0,6.5449247133622315
74-t5ob-rh,,75-t5ob,naph-t,-2540.553667,True,diffusion-74-316,0.0,1.2876496174787608
75-t5ob,h2o,76-t5ob-1h2o,,-2231.637961,True,diffusion-75-317,0.0,5.378384440916
76-t5ob-1h2o,h2o,79-t5ob-2h2o,,-2308.004864,True,diffusion-76-320,6.314001195210104,0.0
78-t6ob,h2o,81-t6ob-1h2o,,-2308.011841,True,diffusion-78-322,2.604792184570541,0.0
84-t3-boh3h2o,,18-t3-boh3,h2o,-2693.261308,True,diffusion-84-18,0.0,1.0360182839626841
78-t6ob,,00-lpdoh2,boh3,-2231.647598,True,diffusion-78-pdt,0.0,5.8734894837571066
