structure,qh-G(T)_SPC
00-lpdoh2,-1907.545159
01-rxt,-2468.692154
03-c1,-2468.674972
05-c2,-2468.72743
09-c3,-2292.80661
11-c4,-2292.778183
13-t1,-2468.689347
15-t2,-2468.708874
16-t2-h2o,-2545.06831
18-t3-boh3,-2545.053976
19-t3,-2292.806136
21-t4,-2292.807141
59-t2-2h2o,-2621.431825
61-t3ob-2h2o,-2621.436139
62-t3ob-h2o,-2545.065386
63-t3ob,-2468.71359
65-t4ob,-2468.714418
67-t4ob-h2o,-2545.086709
69-t4-boh3,-2545.080002
70-t4ob-2h2o,-2621.43495
72-t4-boh3h2o,-2621.438546
74-t5ob-rh,-2468.710581
75-t5ob,-2083.431141
76-t5ob-1h2o,-2159.806778
78-t6ob,-2159.806057
79-t5ob-2h2o,-2236.165547
81-t6ob-1h2o,-2236.172271
84-t3-boh3h2o,-2621.41663
100-l2pd2oh4,-3815.090318
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naph-c,-385.286152
naph-t,-385.286152
