line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0.0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1.0,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,5.587972898176027
0,2.0,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.121609823415032
1,2.0,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.121609823415032
1,3.0,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.20053752407747
1,4.0,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.903479087592839
1,5.0,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,19.709447777351446
1,6.0,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-20.01441742299566
2,2.0,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.121609823415032
2,3.0,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,15.253502390640058
2,4.0,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.883029158883643
2,5.0,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,13.740576840109561
2,6.0,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-8.370350023955325
2,7.0,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.7172436915593932
2,8.0,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-2.7491193832016014
2,11.33333333,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,22.448527007614725
2,14.66666667,T3 + B(OH)$_3$,True,True,False,bottom,2.5,#204195,#204195,o,18-t3-boh3,6.245602653389124
2,18.0,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,9.711965728150119
2,21.33333333,T3,True,True,False,bottom,2.5,#204195,#204195,o,19-t3,-9.170424713011364
2,24.66666667,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,11.286386950755286
2,28.0,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.801071821090536
2,30.0,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.334708746329541
2,32.0,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,8.0,T2 + H$_2$O,False,True,False,top,-1.5,#b65a85,#b65a85,o,16-t2-h2o,-2.7491193832016014
3,9.0,T2 + H$_2$O // T2 + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,3.7788628359650263
3,10.0,T2 + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,300-t2-2h2o,0.3124997612040319
3,11.0,T2-T3OB,True,True,True,bottom,0.5,#b65a85,#b65a85,o,301-ts-t2-t3ob,17.530107074826418
