I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3815.090318,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2468.692154,True,diffusion-lpdoh2-rxt,2.1216098231296736,0.0
01-rxt,,03-c1,,-2468.664937,True,02-ts-rxt-c1,17.078927700662437,6.297058436769988
03-c1,,05-c2,,-2468.664126,True,04-ts-c1-c2,6.805968690043966,39.72386520063247
05-c2,h2o,09-c3,boh3,-2545.074854,True,07-ts-c2-c3,13.158875478032748,2.6123222992742825
09-c3,,11-c4,,-2292.759539,True,10-ts-c3-c4,29.537502509535063,11.699288240771825
11-c4,,naph-c,00-lpdoh2,-2292.778183,True,diffusion-c4-pdt,0.0,33.338327915879496
01-rxt,,13-t1,,-2468.671227,True,12-ts-rxt-t1,13.131892566939667,11.370473231471056
13-t1,,15-t2,,-2468.673638,True,14-ts-t1-t2,9.857547681511278,22.110926864064886
15-t2,h2o,19-t3,boh3,-2545.028155,True,17-ts-t2-t3,30.81887703157005,31.618951720911447
19-t3,,21-t4,,-2292.773536,True,20-ts-t3-t4,20.456811663481293,21.087458771275106
21-t4,,naph-t,00-lpdoh2,-2292.807141,True,diffusion-t4-pdt,0.0,15.166906070833633
59-t2-2h2o,,61-t3ob-2h2o,,-2621.404387,True,60-ts-t2-t3ob,17.217607313622388,19.924683556323426
63-t3ob,,65-t4ob,,-2468.681088,True,64-ts-t3ob-t4ob,20.39531572659139,20.914893642576356
15-t2,,65-t4ob,,-2468.673308,True,66-ts-t2-t4ob,22.318005019131178,25.79691802110592
67-t4ob-h2o,,69-t4-boh3,,-2545.034917,True,68-ts-t4ob-t4-4mps,32.49997514353208,28.291268523069558
70-t4ob-2h2o,,72-t4-boh3h2o,,-2621.39682,True,71-ts-t4ob-t4-6mps,23.926939531492323,26.1834639100874
65-t4ob,,74-t5ob-rh,,-2468.698348,True,73-ts-t4ob-t5ob,10.084078632966907,7.676324450238976
76-t5ob-1h2o,,78-t6ob,,-2159.757358,True,77-ts-t5ob-t6ob-4mps,31.011522466716162,30.55908807357757
79-t5ob-2h2o,,81-t6ob-1h2o,,-2236.135105,True,80-ts-t5ob-t6ob-6mps,19.102646032643467,23.32202031553162
16-t2-h2o,,18-t3-boh3,,-2545.011538,True,82-ts-t2-t3-4mps,35.62497275328953,26.63025071698417
59-t2-2h2o,,84-t3-boh3h2o,,-2621.376953,True,83-ts-t2-t3-6mps,34.43270458901019,24.897696821355915
15-t2,h2o,16-t2-h2o,,-2545.06831,True,diffusion-15-16,5.621230640468366,0.0
18-t3-boh3,,19-t3,boh3,-2545.053976,True,diffusion-18-19,0.0,15.416027366115129
16-t2-h2o,h2o,59-t2-2h2o,,-2621.431825,True,diffusion-16-300,3.061619144405633,0.0
61-t3ob-2h2o,,62-t3ob-h2o,h2o,-2621.4337800000003,True,diffusion-61-303,1.4802950523395155,0.0
62-t3ob-h2o,,63-t3ob,h2o,-2545.065386,True,diffusion-62-304,0.0,10.415403680502255
65-t4ob,h2o,67-t4ob-h2o,,-2545.082812,True,diffusion-65-308,0.0,2.445404756246639
69-t4-boh3,,21-t4,boh3,-2545.0795479999997,True,diffusion-69-21,0.2848893406236459,0.0
67-t4ob-h2o,h2o,70-t4ob-2h2o,,-2621.43495,True,diffusion-67-311,12.646200167549578,0.0
72-t4-boh3h2o,,69-t4-boh3,h2o,-2621.438546,True,diffusion-72-310,0.0,6.180969168491977
74-t5ob-rh,,75-t5ob,naph-t,-2468.710581,True,diffusion-74-316,0.0,4.21184416846977
75-t5ob,h2o,76-t5ob-1h2o,,-2159.799535,True,diffusion-75-317,0.0,4.545051744752393
76-t5ob-1h2o,h2o,79-t5ob-2h2o,,-2236.165547,True,diffusion-76-320,6.039779517297444,0.0
78-t6ob,h2o,81-t6ob-1h2o,,-2236.172271,True,diffusion-78-322,1.3679708412706966,0.0
84-t3-boh3h2o,,18-t3-boh3,h2o,-2621.41663,True,diffusion-84-18,0.0,3.6019048757545473
78-t6ob,,00-lpdoh2,boh3,-2159.806057,True,diffusion-78-pdt,0.0,7.222007528923823
