I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2628.684881,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1875.48841,True,diffusion-lpdoh2-rxt,2.7651208772680804,0.0
01-rxt,,03-c1,,-1875.471154,True,02-ts-rxt-c1,10.828304971232187,11.519820506713957
03-c1,,05-c2,,-1875.483312,True,04-ts-c1-c2,3.8905592734447056,35.855896271441665
05-c2,h2o,09-c3,boh3,-1951.896875,True,07-ts-c2-c3,7.511916945588592,0.33509010517257765
09-c3,,11-c4,,-1699.57615,True,10-ts-c3-c4,30.655097036264294,15.756765057244174
11-c4,,naph-c,00-lpdoh2,-1699.60126,True,diffusion-c4-pdt,0.0,17.151405055149656
01-rxt,,13-t1,,-1875.476612,True,12-ts-rxt-t1,7.403357791586285,7.639928895837558
13-t1,,15-t2,,-1875.471078,True,14-ts-t1-t2,11.11256680208317,17.32553895785203
15-t2,h2o,19-t3,boh3,-1951.843338,True,17-ts-t2-t3,14.89958699813741,15.058346916831328
19-t3,,21-t4,,-1699.565624,True,20-ts-t3-t4,18.388540152907794,24.986803178683523
21-t4,,naph-t,00-lpdoh2,-1699.605443,True,diffusion-t4-pdt,0.0,14.526532564702471
15-t2,ligand,42-p1,boh3,-2910.480208,True,40-ts-t2-p1,7.627378704521976,45.88098900575325
19-t3,ligand,42-p1,h2o,-2734.589736,True,44-ts-t3-p1,-0.7109683315857496,37.38388205080893
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.6975310000003,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1314.3424405,True,diffusion-pdoh2-l,0.0,0.0
