I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-1950.773351,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1536.532325,True,diffusion-lpdoh2-rxt,2.9659239364625614,0.0
01-rxt,,03-c1,,-1536.510119,True,02-ts-rxt-c1,13.934477294372966,12.507520554446947
03-c1,,05-c2,,-1536.520972,True,04-ts-c1-c2,5.697159297278446,33.16952784410458
05-c2,h2o,09-c3,boh3,-1612.933586,True,07-ts-c2-c3,5.4210550907611905,0.10291156776048148
09-c3,,11-c4,,-1360.617475,True,10-ts-c3-c4,27.52758938812958,13.867961281013901
11-c4,,naph-c,00-lpdoh2,-1360.639575,True,diffusion-c4-pdt,0.0,20.866261651603008
01-rxt,,13-t1,,-1536.520129,True,12-ts-rxt-t1,7.653106596497766,7.760410731382782
13-t1,,15-t2,,-1536.513526,True,14-ts-t1-t2,11.903856357603534,12.23267136718966
15-t2,h2o,19-t3,boh3,-1612.880626,True,17-ts-t2-t3,13.044668738216654,16.17154887672138
19-t3,,21-t4,,-1360.609938,True,20-ts-t3-t4,15.092859942628149,24.462205186372078
21-t4,,naph-t,00-lpdoh2,-1360.648921,True,diffusion-t4-pdt,0.0,15.001557301666933
15-t2,ligand,42-p1,boh3,-2232.545972,True,40-ts-t2-p1,10.100393881634359,39.55318260039563
19-t3,ligand,42-p1,h2o,-2056.644392,True,44-ts-t3-p1,11.700543260031793,38.02645184028834
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.7152550000001,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-975.3866755,True,diffusion-pdoh2-l,0.0,0.0
