I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2414.514892,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1768.406449,True,diffusion-lpdoh2-rxt,0.8615706262312989,0.0
01-rxt,,03-c1,,-1768.38339,True,02-ts-rxt-c1,14.469742949395398,10.22652330313605
03-c1,,05-c2,,-1768.393517,True,04-ts-c1-c2,3.8717339866853515,36.03724653438948
05-c2,h2o,09-c3,boh3,-1844.807263,True,07-ts-c2-c3,7.578432958947656,0.7153608987102842
09-c3,,11-c4,,-1592.488159,True,10-ts-c3-c4,30.018174832741348,14.383774139646995
11-c4,,naph-c,00-lpdoh2,-1592.511081,True,diffusion-c4-pdt,0.0,20.404728370042406
01-rxt,,13-t1,,-1768.391714,True,12-ts-rxt-t1,9.246353369964122,8.733678059195595
13-t1,,15-t2,,-1768.382554,True,14-ts-t1-t2,14.481665630938316,16.321523661594266
15-t2,h2o,19-t3,boh3,-1844.753469,True,17-ts-t2-t3,14.739572060326202,15.277975262927841
19-t3,,21-t4,,-1592.480643,True,20-ts-t3-t4,15.54090176864221,26.153343451129754
21-t4,,naph-t,00-lpdoh2,-1592.522321,True,diffusion-t4-pdt,0.0,13.351520913178861
15-t2,ligand,42-p1,boh3,-2696.290298,True,40-ts-t2-p1,10.825167423652982,40.156846797381725
19-t3,ligand,42-p1,h2o,-2520.387451,True,44-ts-t3-p1,10.631894479019563,39.42517065014666
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.7169220000001,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1207.257446,True,diffusion-pdoh2-l,0.0,0.0
