line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.459083199248504
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,0.9927201244875093
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0.9927201244875093
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,16.36231178312022
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,1.0460584371863646
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.117964149276423
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-26.888784655716684
1,12,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.577293235067362
1,14,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.043656309828357
1,16,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-16.479656070658198
1,18,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.165266132672674
1,20,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.620217948120914
1,22,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.08658102288191
1,24,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,13.039648661747494
1,26,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-2.5752992349575217
1,28,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,0.8910638398034729
1,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,0.9927201244875093
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,12.558976338826565
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,1.4482920650626323
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,11.74446892956499
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-6.275095602146068
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.279114986950814
2,14,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.1872480878101808
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.046050788866786
2,18,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-4.451552820014891
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.9851897452538965
2,22,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-5.773715463575832
2,24,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,12.55458377155935
2,26,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.40636830763265
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-5.9400052328716555
2,30,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,15-t2,-6.275095602146068
3,11,T2 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,5.166913983112368
3,12,T2 + L,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,39-t2-lig,1.7005509083513728
3,13,T2-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,40-ts-t2-p1,13.643312858448226
3,14,P1 + B(OH)$_3$,True,True,False,bottom,4.5,lightseagreen,lightseagreen,o,41-p1-boh3,-20.437358867091955
3,15,P1 // B(OH)$_3$,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-16.97099579233096
3,16,P1,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,42-p1,-27.835696582209078
3,17,P1 // H$_2$O,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-13.09612425792372
3,18,P1 + H$_2$O,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,45-p1-h2o,-16.562487332684714
3,19,T3-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,44-ts-t3-p1,11.686110540111615
3,20,T3 + L,True,True,False,top,-5.5,lightseagreen,lightseagreen,o,43-t3-lig,2.1661630018648177
3,21,T3 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,5.632526076625812
3,22,T3,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,19-t3,-5.773715463575832
