I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2638.132442,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1880.215015,True,diffusion-lpdoh2-rxt,0.9927201243448301,0.0
01-rxt,,03-c1,,-1880.190522,True,02-ts-rxt-c1,15.36959165863271,15.316253346076534
03-c1,,05-c2,,-1880.200473,True,04-ts-c1-c2,9.071905712232738,37.006748804850425
05-c2,h2o,09-c3,boh3,-1956.611253,True,07-ts-c2-c3,10.409128585058482,3.6069249520810294
09-c3,,11-c4,,-1704.291804,True,10-ts-c3-c4,33.126229684486724,15.614947896847694
11-c4,,naph-c,00-lpdoh2,-1704.316688,True,diffusion-c4-pdt,0.0,22.392678656823968
01-rxt,,13-t1,,-1880.196583,True,12-ts-rxt-t1,11.566256214196375,11.110684273478574
13-t1,,15-t2,,-1880.197881,True,14-ts-t1-t2,10.296176864217,18.01956453156838
15-t2,h2o,19-t3,boh3,-1956.567388,True,17-ts-t2-t3,17.321146391155533,16.819766252442616
19-t3,,21-t4,,-1704.292577,True,20-ts-t3-t4,18.32829923527786,21.96095207933468
21-t4,,naph-t,00-lpdoh2,-1704.327574,True,diffusion-t4-pdt,0.0,15.561609584291517
15-t2,ligand,42-p1,boh3,-2919.908554,True,40-ts-t2-p1,19.918408460594296,41.47900944065731
19-t3,ligand,42-p1,h2o,-2744.00766,True,44-ts-t3-p1,17.459826003687446,39.521807122320695
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.7050440000003,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1319.066221,True,diffusion-pdoh2-l,0.0,0.0
