I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3104.254843,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2113.277284,True,diffusion-lpdoh2-rxt,0.3222261592560221,0.0
01-rxt,,03-c1,,-2113.252528,True,02-ts-rxt-c1,15.53462667291308,10.870975621362737
03-c1,,05-c2,,-2113.263263,True,04-ts-c1-c2,4.13466049239972,35.833305927330436
05-c2,h2o,09-c3,boh3,-2189.679359,True,07-ts-c2-c3,5.899844885077523,-0.3557979206792067
09-c3,,11-c4,,-1937.357384,True,10-ts-c3-c4,30.748595960859117,16.985428776352972
11-c4,,naph-c,00-lpdoh2,-1937.384452,True,diffusion-c4-pdt,0.0,18.27401965820537
01-rxt,,13-t1,,-2113.254856,True,12-ts-rxt-t1,14.073784416677544,12.975642686337652
13-t1,,15-t2,,-2113.254471,True,14-ts-t1-t2,13.217233866915405,19.44526625237711
15-t2,h2o,19-t3,boh3,-2189.627533,True,17-ts-t2-t3,16.516051625487655,16.51918917320954
19-t3,,21-t4,,-1937.349353,True,20-ts-t3-t4,20.14180186418536,25.15058317398928
21-t4,,naph-t,00-lpdoh2,-1937.389433,True,diffusion-t4-pdt,0.0,15.148394538675253
15-t2,ligand,42-p1,boh3,-3386.034741,True,40-ts-t2-p1,14.57892961302769,41.80092184502699
19-t3,ligand,42-p1,h2o,-3210.130047,True,44-ts-t3-p1,15.009401170971648,42.22825585553443
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.7098129999999,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1552.1274215,True,diffusion-pdoh2-l,0.0,0.0
