line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,7.038775001187881
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,3.5724119264268865
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,3.5724119264268865
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,18.064745219648152
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,-0.04957325548966365
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.102903919583582
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.38765475605234
1,12,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.9443863276595
1,14,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.410749402420496
1,16,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-15.977648422886016
1,18,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.66099868585716
1,20,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.273328369206506
1,22,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-22.7396914439675
1,24,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.891683436726685
1,26,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,-9.435233747473006
1,28,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-5.968870672712011
1,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,3.5724119264268865
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.74685193612405
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,1.1376748326058754
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.613065368243097
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.470755377498337
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.564631836776407
2,14,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-0.9017312379845875
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,13.951420052385044
2,18,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-1.35855819781968
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.107804876941315
2,22,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-3.310112930485182
2,24,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.8797569308813
2,26,T4,True,True,False,bottom,1.5,#204195,#204195,o,21-t4,-7.2696982553808525
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.803335180619858
2,30,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,15-t2,-3.470755377498337
3,11,T2 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,5.553459871808488
3,12,T2 + L,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,39-t2-lig,2.087096797047493
3,13,T2-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,40-ts-t2-p1,10.314374641346369
3,14,P1 + B(OH)$_3$,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,41-p1-boh3,-40.01440212721258
3,15,P1 // B(OH)$_3$,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-33.859160586879916
3,16,P1,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,42-p1,-37.32552366164091
3,17,P1 // H$_2$O,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,-33.05092827334747
3,18,P1 + H$_2$O,True,True,False,top,-1.5,lightseagreen,lightseagreen,o,45-p1-h2o,-36.517291348108465
3,19,T3-P1,True,True,True,bottom,1.5,lightseagreen,lightseagreen,o,44-ts-t3-p1,7.185611974094367
3,20,T3 + L,True,True,False,top,-4.5,lightseagreen,lightseagreen,o,43-t3-lig,3.34023338901479
3,21,T3 // L,False,True,True,top,-1.5,lightseagreen,lightseagreen,x,diffusion,6.806596463775785
3,22,T3,False,False,False,top,-1.5,lightseagreen,lightseagreen,o,19-t3,-3.310112930485182
