I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2481.209484,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1801.749425,True,diffusion-lpdoh2-rxt,3.5724119264268865,0.0
01-rxt,,03-c1,,-1801.72633,True,02-ts-rxt-c1,14.492333293506622,18.114318475137814
03-c1,,05-c2,,-1801.739018,True,04-ts-c1-c2,10.152477174930565,37.49055867592128
05-c2,h2o,09-c3,boh3,-1878.148974,True,07-ts-c2-c3,11.410006333737039,6.762043021081486
09-c3,,11-c4,,-1625.833748,True,10-ts-c3-c4,33.63137488055151,20.32691718448505
11-c4,,naph-c,00-lpdoh2,-1625.866141,True,diffusion-c4-pdt,0.0,15.532744144451161
01-rxt,,13-t1,,-1801.733211,True,12-ts-rxt-t1,10.174440009554486,12.609177103232817
13-t1,,15-t2,,-1801.730237,True,14-ts-t1-t2,14.475390535351865,19.083820745741434
15-t2,h2o,19-t3,boh3,-1878.101279,True,17-ts-t2-t3,17.42217543031142,17.261532982727548
19-t3,,21-t4,,-1625.825799,True,20-ts-t3-t4,19.189869861366482,23.149455186404833
21-t4,,naph-t,00-lpdoh2,-1625.86269,True,diffusion-t4-pdt,0.0,17.698279636828673
15-t2,ligand,42-p1,boh3,-2762.986535,True,40-ts-t2-p1,13.785130019130065,47.63989830298728
19-t3,ligand,42-p1,h2o,-2587.087508,True,44-ts-t3-p1,10.49572490429419,44.51113563573528
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.713776,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1240.604742,True,diffusion-pdoh2-l,0.0,0.0
