I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2324.276093,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1723.283045,True,diffusion-lpdoh2-rxt,3.3744326602106387,0.0
01-rxt,,03-c1,,-1723.257762,True,02-ts-rxt-c1,15.865324211246481,17.17870172084371
03-c1,,05-c2,,-1723.273943,True,04-ts-c1-c2,7.024969526795854,37.3512515536167
05-c2,h2o,09-c3,boh3,-1799.689012,True,07-ts-c2-c3,8.062242829875828,1.224898661471568
09-c3,,11-c4,,-1547.36719,True,10-ts-c3-c4,32.23328358032317,18.337084369098893
11-c4,,naph-c,00-lpdoh2,-1547.396412,True,diffusion-c4-pdt,0.0,17.436294395202584
01-rxt,,13-t1,,-1723.268735,True,12-ts-rxt-t1,8.979661806755205,9.885785611721648
13-t1,,15-t2,,-1723.263969,True,14-ts-t1-t2,12.876496175786363,18.326416706387906
15-t2,h2o,19-t3,boh3,-1799.632829,True,17-ts-t2-t3,18.033997251488557,17.605408221863836
19-t3,,21-t4,,-1547.359937,True,20-ts-t3-t4,17.909750358591463,25.160623326927603
21-t4,,naph-t,00-lpdoh2,-1547.400033,True,diffusion-t4-pdt,0.0,15.16408227771272
15-t2,ligand,42-p1,boh3,-2606.050673,True,40-ts-t2-p1,15.112312738874808,48.187714149039934
19-t3,ligand,42-p1,h2o,-2430.15576,True,44-ts-t3-p1,8.973386711168754,42.47737715110128
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.712929,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-1162.1380465,True,diffusion-pdoh2-l,0.0,0.0
