I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-1943.529536,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1532.908746,True,diffusion-lpdoh2-rxt,4.014806166341801,0.0
01-rxt,,03-c1,,-1532.887014,True,02-ts-rxt-c1,13.637037763004454,12.269066921733758
03-c1,,05-c2,,-1532.897048,True,04-ts-c1-c2,5.972635994308396,38.9909340344228
05-c2,h2o,09-c3,boh3,-1609.314597,True,07-ts-c2-c3,8.14570160138965,1.0887290868888755
09-c3,,11-c4,,-1356.995525,True,10-ts-c3-c4,30.371462715043297,14.737062021948942
11-c4,,naphh-c,00-lpdoh2,-1357.01901,True,diffusion-c4-pdt,0.0,20.023830067017393
01-rxt,,13-t1,,-1532.891906,True,12-ts-rxt-t1,10.567260994265094,10.763043976990415
13-t1,,15-t2,,-1532.892724,True,14-ts-t1-t2,10.249741156734581,16.886282265801682
15-t2,h2o,19-t3,boh3,-1609.261432,True,17-ts-t2-t3,16.689244263959072,16.81600119494807
19-t3,,21-t4,,-1356.987851,True,20-ts-t3-t4,17.552697418652286,22.803069909176642
21-t4,,naphh-t,00-lpdoh2,-1357.02419,True,diffusion-t4-pdt,0.0,16.7733305449602
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.703798,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-971.764768,True,diffusion-pdoh2-l,0.0,0.0
15-t2,ligand,42-p1,boh3,-2225.315588,True,40-ts-t2-p1,10.614324211377498,39.64856405359505
19-t3,ligand,42-p1,h2o,-2049.412314,True,44-ts-t3-p1,10.277351577314967,39.18483448854352
