I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-1479.982617,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1301.134149,True,diffusion-lpdoh2-rxt,4.728598291048463,0.0
01-rxt,,03-c1,,-1301.11508,True,02-ts-rxt-c1,11.965979803980742,14.332318355552736
03-c1,,05-c2,,-1301.124551,True,04-ts-c1-c2,8.389175310572,37.85765176851342
05-c2,h2o,09-c3,boh3,-1377.540315,True,07-ts-c2-c3,8.132523900586763,0.5032626673175116
09-c3,,11-c4,,-1125.221522,True,10-ts-c3-c4,29.61092112811056,16.879379660585244
11-c4,,naphh-c,00-lpdoh2,-1125.248421,True,diffusion-c4-pdt,0.0,18.22256387425379
01-rxt,,13-t1,,-1301.121342,True,12-ts-rxt-t1,8.036514937900039,9.770323852788264
13-t1,,15-t2,,-1301.118786,True,14-ts-t1-t2,11.374238288680248,14.78224271031407
15-t2,h2o,19-t3,boh3,-1377.487373,True,17-ts-t2-t3,14.661133365281541,14.316003107027962
19-t3,,21-t4,,-1125.214097,True,20-ts-t3-t4,14.861308914846038,25.420412284920086
21-t4,,naphh-t,00-lpdoh2,-1125.254607,True,diffusion-t4-pdt,0.0,14.340789734630114
pre-catalyst-dimer,,pre-catalyst-monomer,pre-catalyst-monomer,-558.7146669999998,True,diffusion-pd2oh4-pdoh2,0.0,0.0
pre-catalyst-monomer,ligand,00-lpdoh2,,-739.9913085,True,diffusion-pdoh2-l,0.0,0.0
15-t2,ligand,42-p1,boh3,-1761.761473,True,40-ts-t2-p1,9.315379421557767,44.30656751904625
19-t3,ligand,42-p1,h2o,-1585.861445,True,44-ts-t3-p1,6.469623565896777,41.80594192163883
