I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2186.114884,True,diffusion-l2pd2oh4-lpdoh2,0.0,5.022586519666077
00-lpdoh2,naphboh2,01-rxt,,-1654.20414,True,diffusion-lpdoh2-rxt,4.819273422379695,0.0
01-rxt,,03-c1,,-1654.1892,True,02-ts-rxt-c1,9.374992829843073,0.4122737810999481
03-c1,,05-c2,,-1654.181894,True,04-ts-c1-c2,4.996858628118324,41.6503195506668
05-c2,h2o,09-c3,boh3,-1730.601304,True,07-ts-c2-c3,9.637291826070136,2.701428656744571
09-c3,,11-c4,,-1478.279142,True,10-ts-c3-c4,33.923166825963555,12.904734105996733
11-c4,,naphh-c,00-lpdoh2,-1478.299707,True,diffusion-c4-pdt,0.0,30.050805329648217
01-rxt,,13-t1,,-1654.18912,True,12-ts-rxt-t1,9.425193594677364,9.273336281057203
13-t1,,15-t2,,-1654.186811,True,14-ts-t1-t2,10.722255855607141,15.535881692173048
15-t2,h2o,19-t3,boh3,-1730.556663,True,17-ts-t2-t3,14.620972753385573,15.763667662460609
19-t3,,21-t4,,-1478.282826,True,20-ts-t3-t4,16.6610063337487,19.562610540200446
21-t4,,naphh-t,00-lpdoh2,-1478.314001,True,diffusion-t4-pdt,0.0,21.081183675688656
