line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,Pd$_3$(OAc)$_6$ + L,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,3.4663630747609946
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,-3.3904341537064013
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,-3.3904341537064013
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,-3.3904341537064013
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,10.66452497606911
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,0.26543654423430707
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,4.920302462106297
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-30.7661662283585
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-24.54629120341405
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-28.012654278175045
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.98768475137919
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-27.282233150199957
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.257013120253696
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-22.72337619501469
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,5.109182839472502
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-6.72564746625203
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-3.2592843914910357
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,5.47627593235
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,-1.1677952914208418
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,10.57918367609337
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.9275823373334293
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.7123468223206046
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,0.24598374755961
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.098134082305672
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,3.0365187620598277
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.502881836820823
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-3.8052179733262883
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,13.862313695200115
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-12.146075047668594
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-8.679711972907599
