line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,Pd$_3$(OAc)$_6$ + L,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,3.4663630747609946
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,-1.414406548182399
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,-1.414406548182399
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,-1.414406548182399
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,14.120220124730679
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,3.2492445036533018
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,7.383904995767663
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-28.449400931848135
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-24.883263836905865
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-28.34962691166686
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-22.549556046199893
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-28.498346676994416
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-18.727395050759693
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-22.193758125520688
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,8.554837835481107
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-8.430590941014541
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-4.964227866253546
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,6.415657744138654
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,-0.3162648181278652
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,12.900969049072899
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-6.544297203589568
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.47690753024160815
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-2.9894555445193864
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,9.971754422183446
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-5.017566443196916
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.5512033684359214
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-6.547434750740737
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,13.594367113301944
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-11.556216060544658
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-8.089852985783663
