line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,Pd$_3$(OAc)$_6$ + L,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,7.945526315641629
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,4.479163240880635
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,4.479163240880635
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,4.479163240880635
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,18.07227533463725
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,14.728904397615215
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,19.32666694557916
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-22.145439890147067
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.105409869984577
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-18.57177294474557
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-8.410510635708615
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-15.087212356814362
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-11.052325620351402
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-14.518688695112397
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,19.606536209448286
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,7.082700406476564
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,10.549063481237559
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,16.403727414133478
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,4.749619861584104
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,16.495343810123703
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-1.2449789672055331
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,7.4761491649189935
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,4.0097860901579985
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,15.482543379474192
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,3.6106900094329
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,7.077053084193895
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-2.0074030830282212
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,16.6584962956568
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-5.919925190954167
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-2.4535621161931727
