line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.836216445064324
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.3698533703033298
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.3698533703033298
1,3,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,21.073026051640287
1,4,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,13.721124044005581
1,5,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,19.263915990000005
1,6,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-21.951539435455626
1,8,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-12.963719740692898
1,10,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-16.430082815453893
1,12,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-10.944394239938235
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-14.761534894379405
1,16,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-11.29517181961841
1,18,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-16.09624772882789
1,19,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,20.355782624610764
1,20,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,8.278733627965098
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,11.745096702726093
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.3698533703033298
2,3,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.895194430870196
2,4,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,1.0033877869131371
2,5,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,10.662642447892551
2,6,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-7.749115559041812
2,8,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,7.4479112348513015
2,10,T2 + H$_2$O,True,True,False,bottom,1.5,#204195,#204195,o,16-t2-h2o,3.981548160090307
2,12,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,23.03901350394061
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,5.49447370947937
2,16,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,8.960836784240364
2,18,T3,True,True,False,bottom,3.5,#204195,#204195,o,19-t3,-10.568516013382386
2,19,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,10.560358389191338
2,20,T4,True,True,False,top,-2.5,#204195,#204195,o,21-t4,-7.7459780113199255
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.27961493655893
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,6,T2,False,False,False,top,-1.5,darkgreen,darkgreen,o,15-t2,-7.749115559041812
3,9,T2-XA,True,True,True,bottom,1.5,darkgreen,darkgreen,o,26-ts-t2-xa,2.2866448376954005
3,12,XA,True,True,False,top,-1.5,darkgreen,darkgreen,o,27-xa,-11.009655233466614
3,15,XA-T3,True,True,True,bottom,2.5,darkgreen,darkgreen,o,28-ts-xa-t3,1.2054458652249083
3,18,T3,False,False,False,bottom,3.5,darkgreen,darkgreen,o,19-t3,-10.568516013382386
4,6,T2,False,False,False,top,-1.5,purple,purple,o,15-t2,-7.749115559041812
4,9,T2-XB,True,True,True,top,-1.5,purple,purple,o,29-ts-t2-xb,1.121987093425728
4,12,XB,True,True,False,bottom,1.5,purple,purple,o,30-xb,-28.337076720208596
4,15,XB-T3,True,True,True,top,-1.5,purple,purple,o,31-ts-xb-t3,-2.9838079582775614
4,18,T3,False,False,False,bottom,3.5,purple,purple,o,19-t3,-10.568516013382386
