I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3815.090318,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2468.692154,True,diffusion-lpdoh2-rxt,2.1216098231296736,0.0
01-rxt,,03-c1,,-2468.664937,True,02-ts-rxt-c1,17.078927700662437,6.297058436769988
03-c1,,05-c2,,-2468.664126,True,04-ts-c1-c2,6.805968690043966,39.72386520063247
05-c2,h2o,09-c3,boh3,-2545.074854,True,07-ts-c2-c3,13.158875478032748,2.6123222992742825
09-c3,,11-c4,,-2292.759539,True,10-ts-c3-c4,29.537502509535063,11.699288240771825
11-c4,,naphh-c,00-lpdoh2,-2292.778183,True,diffusion-c4-pdt,0.0,33.338327915879496
01-rxt,,13-t1,,-2468.671227,True,12-ts-rxt-t1,13.131892566939667,11.370473231471056
13-t1,,15-t2,,-2468.673638,True,14-ts-t1-t2,9.857547681511278,22.110926864064886
15-t2,h2o,19-t3,boh3,-2545.028155,True,17-ts-t2-t3,30.81887703157005,31.618951720911447
19-t3,,21-t4,,-2292.773536,True,20-ts-t3-t4,20.456811663481293,21.087458771275106
21-t4,,naphh-t,00-lpdoh2,-2292.807141,True,diffusion-t4-pdt,0.0,15.166906070833633
15-t2,,28-xa,boh3,-2468.688972,True,27-ts-t2-xa,12.488695267687593,16.52044419218415
28-xa,h2o,19-t3,,-2292.78822,True,29-ts-xa-t3,14.474135516377252,11.24246128122209
15-t2,,31-xb,boh3,-2468.691835,True,30-ts-t2-xb,10.692135396649496,31.48968475140251
31-xb,h2o,19-t3,,-2292.793822,True,32-ts-xb-t3,27.724627390114872,7.7271527247032505
