line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,8.61037269491665
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,5.144009620155655
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,5.144009620155655
1,3,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.358356178255068
1,4,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,15.916466240597087
1,5,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,20.54246671862872
1,6,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-17.521008185976378
1,8,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-8.840668175377802
1,10,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-12.307031250138797
1,12,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,0.8813371772216112
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-11.483738706913513
1,16,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-8.017375632152518
1,18,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-11.636223530306337
1,19,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,22.915080366072523
1,20,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,8.683163540045689
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,12.149526614806684
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,5.144009620155655
2,3,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,17.758834308774222
2,4,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,5.108869084300811
2,5,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.807029338058904
2,6,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.387233090574792
2,8,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.930529601929227
2,10,T2 + H$_2$O,True,True,False,bottom,1.5,#204195,#204195,o,16-t2-h2o,3.4641665271682327
2,12,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.960141670653675
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-5.284571761862883
2,16,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.818208687101888
2,18,T3,True,True,False,bottom,3.5,#204195,#204195,o,19-t3,-7.089289256806669
2,19,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,14.333259620069052
2,20,T4,True,True,False,top,-2.5,#204195,#204195,o,21-t4,-6.509470423191772
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,6,T2,False,False,False,top,-1.5,darkgreen,darkgreen,o,15-t2,-4.387233090574792
3,9,T2-XA,True,True,True,bottom,1.5,darkgreen,darkgreen,o,26-ts-t2-xa,6.156810049663735
3,12,XA,True,True,False,top,-1.5,darkgreen,darkgreen,o,27-xa,-4.515245040823759
3,15,XA-T3,True,True,True,bottom,2.5,darkgreen,darkgreen,o,28-ts-xa-t3,5.277041646873783
3,18,T3,False,False,False,bottom,3.5,darkgreen,darkgreen,o,19-t3,-7.089289256806669
4,6,T2,False,False,False,top,-1.5,purple,purple,o,15-t2,-4.387233090574792
4,9,T2-XB,True,True,True,top,-1.5,purple,purple,o,29-ts-t2-xb,5.624054433589278
4,12,XB,True,True,False,top,-1.5,purple,purple,o,30-xb,-20.231849486171964
4,15,XB-T3,True,True,True,top,-1.5,purple,purple,o,31-ts-xb-t3,1.3431842135258647
4,18,T3,False,False,False,bottom,3.5,purple,purple,o,19-t3,-7.089289256806669
