I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3501.266247,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2311.775302,True,diffusion-lpdoh2-rxt,5.144009620155655,0.0
01-rxt,,03-c1,,-2311.75265,True,02-ts-rxt-c1,14.21434655838477,3.4418899379433396
03-c1,,05-c2,,-2311.750763,True,04-ts-c1-c2,4.626000478031634,38.06347490431974
05-c2,h2o,09-c3,boh3,-2388.150489,True,07-ts-c2-c3,18.402345363197988,12.51756070724259
09-c3,,11-c4,,-2135.842969,True,10-ts-c3-c4,34.55130389580815,14.231916826026834
11-c4,,naph-c,00-lpdoh2,-2135.865649,True,diffusion-c4-pdt,0.0,33.6511414316845
01-rxt,,13-t1,,-2311.755199,True,12-ts-rxt-t1,12.614824689189284,12.649965224473412
13-t1,,15-t2,,-2311.759903,True,14-ts-t1-t2,9.698160253187375,19.19426242834834
15-t2,h2o,19-t3,boh3,-2388.128053,True,17-ts-t2-t3,19.347374761228465,22.049430927460342
19-t3,,21-t4,,-2135.856645,True,20-ts-t3-t4,21.422548876875723,20.842730043260826
21-t4,,naph-t,00-lpdoh2,-2135.88986,True,diffusion-t4-pdt,0.0,18.458507468732396
15-t2,,31-xb,boh3,-2311.774537,True,30-ts-t2-xb,10.011287524164072,25.855903919761243
31-xb,h2o,19-t3,,-2135.877346,True,32-ts-xb-t3,21.57503369969783,8.432473470332534
