I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3810.483728,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2466.388026,True,diffusion-lpdoh2-rxt,2.644325286836524,0.0
01-rxt,,03-c1,,-2466.367074,True,02-ts-rxt-c1,13.147580306119815,6.198539436134041
03-c1,,05-c2,,-2466.36999,True,04-ts-c1-c2,4.368721558273733,37.502481357321514
05-c2,h2o,09-c3,boh3,-2542.783462,True,07-ts-c2-c3,9.215605401519172,1.022213073529812
09-c3,,11-c4,,-2290.466549,True,10-ts-c3-c4,28.950153560931064,12.863318474983474
11-c4,,naphh-c,00-lpdoh2,-2290.487048,True,diffusion-c4-pdt,0.0,25.70781166363563
01-rxt,,13-t1,,-2466.373172,True,12-ts-rxt-t1,9.321027007656912,10.475644598417546
13-t1,,15-t2,,-2466.371237,True,14-ts-t1-t2,11.689875597606166,19.64355927347969
15-t2,h2o,19-t3,boh3,-2542.736207,True,17-ts-t2-t3,21.79215200770244,21.93522418735889
19-t3,,21-t4,,-2290.466605,True,20-ts-t3-t4,20.175059870864892,22.350008006693418
21-t4,,naphh-t,00-lpdoh2,-2290.502222,True,diffusion-t4-pdt,0.0,16.185981596641557
01-rxt,,34-ya,,-2466.374905,True,33-ts-rxt-ya,8.233552939742648,8.738698135807436
34-ya,,03-c1,,-2466.36389,True,35-ts-ya-c1,15.650715941761806,8.196529875711246
