I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3501.266247,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2311.775302,True,diffusion-lpdoh2-rxt,5.144009620155655,0.0
01-rxt,,03-c1,,-2311.75265,True,02-ts-rxt-c1,14.21434655838477,3.4418899379433396
03-c1,,05-c2,,-2311.750763,True,04-ts-c1-c2,4.626000478031634,38.06347490431974
05-c2,h2o,09-c3,boh3,-2388.150489,True,07-ts-c2-c3,18.402345363197988,12.51756070724259
09-c3,,11-c4,,-2135.842969,True,10-ts-c3-c4,34.55130389580815,14.231916826026834
11-c4,,naphh-c,00-lpdoh2,-2135.865649,True,diffusion-c4-pdt,0.0,33.6511414316845
01-rxt,,13-t1,,-2311.755199,True,12-ts-rxt-t1,12.614824689189284,12.649965224473412
13-t1,,15-t2,,-2311.759903,True,14-ts-t1-t2,9.698160253187375,19.19426242834834
15-t2,h2o,19-t3,boh3,-2388.128053,True,17-ts-t2-t3,19.347374761228465,22.049430927460342
19-t3,,21-t4,,-2135.856645,True,20-ts-t3-t4,21.422548876875723,20.842730043260826
21-t4,,naphh-t,00-lpdoh2,-2135.88986,True,diffusion-t4-pdt,0.0,18.458507468732396
01-rxt,,34-ya,,-2311.761442,True,33-ts-rxt-ya,8.697282504794178,11.891933675917937
34-ya,,03-c1,,-2311.752192,True,35-ts-ya-c1,17.6963971080814,3.729289316516208
01-rxt,h2o,37-yb,,-2388.11515,True,36-ts-rxt-yb,17.912887906313347,10.78688934036161
37-yb,,03-c1,h2o,-2388.108188,True,38-ts-yb-c1,15.155610898635341,11.50915284414565
