line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,8.61037269491665
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,5.144009620155655
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,5.144009620155655
1,6,RXT-C1,True,True,True,bottom,7.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.358356178255068
1,10,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,15.916466240597087
1,11,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,20.54246671862872
1,12,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-17.521008185976378
1,13,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-8.840668175377802
1,14,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-12.307031250138797
1,15,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,0.8813371772216112
1,16,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-11.483738706913513
1,17,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-8.017375632152518
1,18,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-11.636223530306337
1,19,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,22.915080366072523
1,20,C4,True,True,False,bottom,3.5,#C04A1B,#C04A1B,o,11-c4,8.683163540045689
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,12.149526614806684
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,5.144009620155655
2,6,RXT-T1,True,True,True,bottom,4.5,#204195,#204195,o,12-ts-rxt-t1,17.758834308774222
2,10,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,5.108869084300811
2,11,T1-T2,True,True,True,top,-7.5,#204195,#204195,o,14-ts-t1-t2,14.807029338058904
2,12,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.387233090574792
2,13,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.930529601929227
2,14,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.4641665271682327
2,15,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.960141670653675
2,16,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-5.284571761862883
2,17,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.818208687101888
2,18,T3,True,True,False,bottom,4.5,#204195,#204195,o,19-t3,-7.089289256806669
2,19,T3-T4,True,True,True,bottom,-10.5,#204195,#204195,o,20-ts-t3-t4,14.333259620069052
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.509470423191772
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
2,22,PDT,False,False,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,2,RXT,False,False,False,top,-1.5,darkgreen,darkgreen,o,01-rxt,5.144009620155655
3,4,RXT-YA,True,True,True,top,-4.5,darkgreen,darkgreen,o,32-ts-rxt-ya,13.841292124379116
3,6,YA,True,True,False,top,-1.5,darkgreen,darkgreen,o,33-ya,1.9493584484611786
3,8,YA-C1,True,True,True,bottom,1.5,darkgreen,darkgreen,o,34-ts-ya-c1,19.645755557113294
3,10,C1,False,False,False,top,-1.5,darkgreen,darkgreen,o,03-c1,15.916466240597087
4,2,RXT,False,False,False,top,-1.5,purple,purple,o,01-rxt,5.144009620155655
4,4,RXT-YB,True,True,True,bottom,1.5,purple,purple,o,35-ts-rxt-yb,23.056897526183647
4,6,YB,True,True,False,top,-1.5,purple,purple,o,36-yb,12.270008186107395
4,8,YB-C1,True,True,True,bottom,1.5,purple,purple,o,37-ts-yb-c1,27.42561908474274
4,10,C1,False,False,False,top,-1.5,purple,purple,o,03-c1,15.916466240597087
