I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2638.132442,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1880.215015,True,diffusion-lpdoh2-rxt,0.9927201243448301,0.0
01-rxt,,03-c1,,-1880.190522,True,02-ts-rxt-c1,15.36959165863271,15.316253346076534
03-c1,,05-c2,,-1880.200473,True,04-ts-c1-c2,9.071905712232738,37.006748804850425
05-c2,h2o,09-c3,boh3,-1956.611253,True,07-ts-c2-c3,10.409128585058482,3.6069249520810294
09-c3,,11-c4,,-1704.291804,True,10-ts-c3-c4,33.126229684486724,15.614947896847694
11-c4,,naphh-c,00-lpdoh2,-1704.316688,True,diffusion-c4-pdt,0.0,22.392678656823968
01-rxt,,13-t1,,-1880.196583,True,12-ts-rxt-t1,11.566256214196375,11.110684273478574
13-t1,,15-t2,,-1880.197881,True,14-ts-t1-t2,10.296176864217,18.01956453156838
15-t2,h2o,19-t3,boh3,-1956.567388,True,17-ts-t2-t3,17.321146391155533,16.819766252442616
19-t3,,21-t4,,-1704.292577,True,20-ts-t3-t4,18.32829923527786,21.96095207933468
21-t4,,naphh-t,00-lpdoh2,-1704.327574,True,diffusion-t4-pdt,0.0,15.561609584291517
01-rxt,h2o,37-yb,,-1956.554342,True,36-ts-rxt-yb,18.23982038729488,13.356540989505342
37-yb,,03-c1,h2o,-1956.550608,True,38-ts-yb-c1,15.699661687336127,20.529602772569486
