line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,6.11068836131216
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.6443252865511657
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.6443252865511657
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.791905592956338
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,9.59336615653694
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,13.96208771509603
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-23.540393642225485
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.601769931800291
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-19.068133006561286
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-14.324788240991673
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-19.246973231274527
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-11.880638239475132
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-15.347001314236127
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,13.603152246694938
1,20,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,0.739833771426105
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,4.206196846187099
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.6443252865511657
2,4,RXT-T1,True,True,True,top,-2.5,#204195,#204195,o,12-ts-rxt-t1,11.96535229420808
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,1.4897076957905322
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,13.179583293396698
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-6.4639759800829895
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.35391565589108653
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-3.112447418869908
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,15.32817602790481
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-4.170428537171153
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.7040654624101585
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-6.607048159739439
2,18,T3-T4,True,True,True,top,-5.5,#204195,#204195,o,20-ts-t3-t4,13.56801171141081
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-8.781996295567968
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-5.315633220806973
2,22,PDT,False,False,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,2,RXT,False,False,False,top,-1.5,purple,purple,o,01-rxt,2.6443252865511657
3,3,RXT-YB,True,True,True,bottom,1.5,purple,purple,o,35-ts-rxt-yb,21.785249402200648
3,4,YB,True,True,False,top,-3.5,purple,purple,o,36-yb,3.2768549233776127
3,5,YB-C1,True,True,True,bottom,1.5,purple,purple,o,37-ts-yb-c1,22.787382170139175
3,6,C1,False,False,False,top,-1.5,purple,purple,o,03-c1,9.59336615653694
