line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.459083199248504
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,0.9927201244875093
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0.9927201244875093
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,16.36231178312022
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,1.0460584371863646
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.117964149276423
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-26.888784655716684
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.577293235067362
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.043656309828357
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-16.479656070658198
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.165266132672674
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.620217948120914
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.08658102288191
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,13.039648661747494
1,20,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,-2.5752992349575217
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,0.8910638398034729
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,0.9927201244875093
2,4,RXT-T1,True,True,True,top,-2.5,#204195,#204195,o,12-ts-rxt-t1,12.558976338826565
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,1.4482920650626323
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,11.74446892956499
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-6.275095602146068
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.279114986950814
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.1872480878101808
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.046050788866786
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-4.451552820014891
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.9851897452538965
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-5.773715463575832
2,18,T3-T4,True,True,True,top,-5.5,#204195,#204195,o,20-ts-t3-t4,12.55458377155935
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.40636830763265
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-5.9400052328716555
2,22,PDT,False,False,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,2,RXT,False,False,False,top,-1.5,purple,purple,o,01-rxt,0.9927201244875093
3,3,RXT-YB,True,True,True,bottom,1.5,purple,purple,o,35-ts-rxt-yb,19.23254051163971
3,4,YB,True,True,False,top,-3.5,purple,purple,o,36-yb,5.875999522277045
3,5,YB-C1,True,True,True,bottom,1.5,purple,purple,o,37-ts-yb-c1,21.575661209470493
3,6,C1,False,False,False,top,-1.5,purple,purple,o,03-c1,1.0460584371863646
