I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-4268.00599,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2695.151316,True,diffusion-lpdoh2-rxt,1.2895321462260358,0.0
01-rxt,,03-c1,,-2695.124525,True,02-ts-rxt-c1,16.811608627966212,9.656744622174116
03-c1,,05-c2,,-2695.128639,True,04-ts-c1-c2,7.075170291487465,43.23540869965675
05-c2,h2o,09-c3,boh3,-2771.553693,True,07-ts-c2-c3,7.680717017220831,-5.501376314410447
09-c3,,11-c4,,-2519.22702,True,10-ts-c3-c4,28.551057481062042,15.468738169326679
11-c4,,naph-c,00-lpdoh2,-2519.251671,True,diffusion-c4-pdt,0.0,23.516548279139652
01-rxt,,13-t1,,-2695.129461,True,12-ts-rxt-t1,13.714221438789146,13.991580664423692
13-t1,,15-t2,,-2695.130579,True,14-ts-t1-t2,13.2900249760036,14.164773302895107
15-t2,h2o,19-t3,boh3,-2771.500525,True,17-ts-t2-t3,13.19087846559499,21.371720602411447
19-t3,,21-t4,,-2519.222999,True,20-ts-t3-t4,24.58394204117727,24.909619502756154
21-t4,,naph-t,00-lpdoh2,-2519.262695,True,diffusion-t4-pdt,0.0,16.598882887228815
01-rxt,h2o,37-yb,,-2771.488689,True,36-ts-rxt-yb,19.465974068026416,18.78826374297752
37-yb,,03-c1,h2o,-2771.486221,True,38-ts-yb-c1,20.336957337423375,13.859803656680175
