,3e-pcy3,3m-cyjohnphos,3h-ptbu3,3t-tbujohnphos
RXT → RXT,0.0,0.0,0.0,0.0
½ μA-Ref + RB(OH)$_2$ → RXT,2.2533868308731897,0.3222261593987013,2.3079801625466563,2.1281986736024567
½ μB-Ref + RB(OH)$_2$ → RXT,1.7774208293924112,-0.7900345361177158,1.301454827911633,0.16001493795388677
½ OAcμ-Ref + 2 H$_2$O + RB(OH)$_2$ → RXT + 2 AcOH,14.50927605166138,15.980785970322543,10.897331022968512,11.841419156482674
C-Ref + RB(OH)$_2$ → RXT,-27.228267327871116,-10.983299832574234,-15.998983747594592,-6.038524498037475
T-Ref + RB(OH)$_2$ → RXT,-15.875991873672108,-19.358042423368737,-14.383774139646995,-16.03914435934788
CL-Ref + RB(OH)$_2$ → RXT + L,7.15925657277395,5.7762255020957705,-26.955300669218424,-20.36707779623834
TL-Ref + RB(OH)$_2$ → RXT + L,5.084082456841338,0.16189746655848258,-2.9731402964226503,-15.380886830545643
CS-Ref + RB(OH)$_2$ → RXT + S,-22.256509082241276,-22.205053298004337,-20.941876553669434,-24.11142734216203
TS-Ref + RB(OH)$_2$ → RXT + S,-13.285632409164425,-16.909500119257533,-14.722629302171443,-14.182971080167157
CW-Ref + RB(OH)$_2$ → RXT + H$_2$O,-11.13703967494167,-13.834075764704385,-11.725643642520279,-11.87499091776318
TW-Ref + RB(OH)$_2$ → RXT + H$_2$O,-12.307972514369757,-13.866078752266628,-11.54115583185057,-12.015553059185049
OH-Ref + RB(OH)$_2$ → RXT + $^-$OH,23.550433795449166,23.90811424473297,24.95229015302938,24.37686388625366
KOH-Ref + RB(OH)$_2$ → RXT + KOH,17.75036293026756,18.728650334549535,16.260027724704365,20.594236257466633
KOH-Ref + K$_2$HPO4$^-$ + RB(OH)$_2$ → RXT + [K$_3$PO$_4$--H$_2$O],-7.340606835579093,-6.362319431297119,-8.830942041142288,-4.49673350838002
KOH-Ref + K$_2$HPO4$^-$ + RB(OH)$_2$ → RXT + K$_3$PO$_4$ + H$_2$O,0.5747987572884155,1.5530861615703888,-0.9155364482747805,3.4186720844874885
Pd(OAc)$_2$-Ref + 2 H$_2$O + L + RB(OH)$_2$ → RXT + 2 AcOH,-17.50939925903443,-15.533371653795788,-9.29969168259164,-9.63980186401936
½ Pd$_2$(OAc)$_4$-Ref + 2 H$_2$O + L + RB(OH)$_2$ → RXT + 2 AcOH,-8.08577443836069,-6.109746833122047,0.1239331380821029,-0.21617704334561708
⅓ Pd$_3$(OAc)$_6$-Ref + 2 H$_2$O + L + RB(OH)$_2$ → RXT + 2 AcOH,-1008266.0574232792,-1150805.561232672,-862732.7745280832,-1053786.4907308794
¼ Pd$_4$(OAc)$_8$-Ref + 2 H$_2$O + L + RB(OH)$_2$ → RXT + 2 AcOH,-1008272.6859636413,-1150812.1897730343,-862739.4030684454,-1053793.1192712416
