   GoodVibes v3.0.1 2024/07/14 15:38:07,,,,,,,,,,,
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).,,,,,,,
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246,,,,,,,,,,,
   Requested: --qs truhlar --ssymm --imag -c 1 -t 333.15 --csv ,,,,,,,,,,,
,,,,,,,,,,,
   Temperature = 333.15 Kelvin   Concentration = 1.0 mol/l,,,,,,,,,,,
   All energetic values below shown in Hartree unless otherwise specified.,,,,,,,,,,,
   Using vibrational scale factor 1.0 for PBEPBE/def2SVP/W06 level of theory,,,,,,,,,,,
,,,,,,,,,,,
   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.,,,,,,,,,,,
   QS = Truhlar: Using an RRHO treatment where low frequencies are adjusted to the cut-off value.,,,,,,,,,,,
   REF: Ribeiro, R. F.; Marenich, A. V.; Cramer, C. J.; Truhlar, D. G. J. Phys. Chem. B 2011,115, 14556-14562,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
   Ssymm requested. Symmetry contribution to entropy to be calculated using S. Patchkovskii's ,,,,,,,,,,,
"   open source software ""Brute Force Symmetry Analyzer"" available under GNU General Public License.",,,,,,,,,,,
   REF: (C) 1996, 2003 S. Patchkovskii, Serguei.Patchkovskii@sympatico.ca,,,,,,,,,
,,,,,,,,,,,
   Atomic radii used to calculate internal symmetry based on Cambridge Structural Database covalent radii.,,,,,,,,,,,
   REF: C. R. Groom, I. J. Bruno, M. P. Lightfoot and S. C. Ward, Acta Cryst. 2016, B72, 171-179,,,,,,
   Cordero, B.; Gomez V.; Platero-Prats, A. E.; Reves, M.; Echeverria, J.; Cremades, E.; Barragan, F.; Alvarez, S. Dalton Trans. 2008, 2832-2838,,,
,,,,,,,,,,,
,,,,,,,,,,,
   Structure,E_SPC,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),im,freq,Point,Group
   ******************************************************************************************************************************************************,,,,,,,,,,,
o  base-reactants-14dioxane-gassvp,,-307.069842,0.118611,-306.943679,0.035907,0.035907,-306.979586,-306.979586,          C2h,,
o  base-reactants-oh0dioxane-gassvp,,-75.575402,0.007594,-75.564116,0.018841,0.018841,-75.582957,-75.582957,        Cinfv,,
o  base-reactants-oh1dioxane-gassvp,,-382.727016,0.12747,-382.589399,0.042717,0.042717,-382.632116,-382.632116,           Cs,,
o  base-reactants-oh2dioxane-gassvp,,-689.839118,0.247543,-689.572551,0.063818,0.061718,-689.63637,-689.63427,           C2,,
o  base-reactants-14dioxane-smdqzvpp,-307.33733,-307.069842,0.118611,-307.211167,0.035907,0.035907,-307.247074,-307.247074,          C2h,,
o  base-reactants-oh0dioxane-smdqzvpp,-75.78816,-75.575402,0.007594,-75.776874,0.018841,0.018841,-75.795715,-75.795715,        Cinfv,,
o  base-reactants-oh1dioxane-smdqzvpp,-383.129648,-382.727016,0.12747,-382.992032,0.042717,0.042717,-383.034749,-383.034749,           Cs,,
o  base-reactants-oh2dioxane-smdqzvpp,-690.478138,-689.839118,0.247543,-690.211571,0.063818,0.061718,-690.27539,-690.27329,           C2,,
   ******************************************************************************************************************************************************,,,,,,,,,,,
