line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker
1,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,black,o
1,1,Pd-ECRXT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,2,ECRXT,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,4,ECRXT-EC1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,6,EC1,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,8,EC1-EC2,TRUE,TRUE,TRUE,top,-5.5,#C04A1B,#C04A1B,o
1,10,EC2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,11,EC2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,12,EC2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,13,EC2-EC3,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,14,EC3 + BpinOH,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,15,EC3 // BpinOH,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,16,EC3,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,18,EC3-EC4,TRUE,TRUE,TRUE,top,-7.5,#C04A1B,#C04A1B,o
1,20,EC4,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,21,EC4-PDT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,22,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
2,0,[LPd(OH)$_2$]$_2$,FALSE,TRUE,FALSE,top,-1.5,#204195,black,o
2,1,Pd-ETRXT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,2,ETRXT,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,4,ETRXT-ET1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o
2,6,ET1,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,8,ET1-ET2,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,10,ET2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,11,ET2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,12,ET2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,13,ET2-ET3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,14,ET3 + BpinOH,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,15,ET3 // BpinOH,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,16,ET3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,18,ET3-ET4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,20,ET4,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,21,ET4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,22,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o
