line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker
0,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,black,black,o
0,1,Pd-RXT,FALSE,TRUE,TRUE,top,-1.5,black,black,x
0,2,RXT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
1,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,4,RXT-C1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,6,C1,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,8,C1-C2,TRUE,TRUE,TRUE,top,-5.5,#C04A1B,#C04A1B,o
1,10,C2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,11,C2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,12,C2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,13,C2-C3,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,14,C3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,15,C3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,16,C3,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,18,C3-C4,TRUE,TRUE,TRUE,top,-7.5,#C04A1B,#C04A1B,o
1,20,C4,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,21,C4-PDT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,22,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
2,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#204195,#204195,o
2,4,RXT-T1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o
2,6,T1,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,8,T1-T2,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,10,T2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,11,T2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,12,T2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,13,T2-T3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,14,T3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,15,T3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,16,T3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,18,T3-T4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,20,T4,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,21,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,22,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o
3,6,C2$_{dimer}$,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,8,C2$_{dimer}$ // C2,FALSE,TRUE,TRUE,top,-1.5,darkgreen,darkgreen,x
3,10,C2,FALSE,FALSE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,11,C2 // C2 + NaphB(OH)$_2$,FALSE,TRUE,TRUE,top,-1.5,darkgreen,darkgreen,x
3,12,C2 + NaphB(OH)$_2$,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,13,C2 + NaphB(OH)$_2$-HC1,FALSE,TRUE,TRUE,top,-1.5,darkgreen,darkgreen,o
3,14,HC1 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,15,HC1 + B(OH)$_3$ // HC1,FALSE,TRUE,TRUE,top,-1.5,darkgreen,darkgreen,x
3,16,HC1,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,17,HC1-HC2,TRUE,TRUE,TRUE,bottom,1.5,darkgreen,darkgreen,o
3,18,HC2,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,19,HC2-HC3,TRUE,TRUE,TRUE,bottom,1.5,darkgreen,darkgreen,o
3,20,HC3,FALSE,FALSE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,21,HC3-LPd(0)B(OH)$_3$,TRUE,TRUE,TRUE,bottom,1.5,darkgreen,darkgreen,o
3,22,LPd(0)B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,darkgreen,darkgreen,o
3,23,LPd(0)B(OH)$_3$ // LPd(0) + B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,darkgreen,darkgreen,x
3,24,LPd(0) + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,black,black,o
4,20,HC3,TRUE,TRUE,FALSE,top,-1.5,purple,purple,o
4,21,HC3 // HC4,FALSE,TRUE,TRUE,top,-1.5,purple,purple,x
4,22,HC4 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,purple,purple,o
4,23,HC4-LPd(0),TRUE,TRUE,TRUE,bottom,1.5,purple,purple,o
4,24,LPd(0) + B(OH)$_3$,FALSE,FALSE,FALSE,top,-1.5,black,black,o
