line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker
0,18,T4OB,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
0,19,T4OB-T5OB,TRUE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,o
0,20,T5OB + R-H,TRUE,TRUE,FALSE,bottom,2.5,#b65a85,#b65a85,o
0,21,T5OB + R-H // T5OB,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
0,22,T5OB,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
0,23,T5OB // T5OB + H$_2$O,FALSE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,x
0,24,T5OB + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
0,25,T5OB + H$_2$O // T5OB + 2H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
0,26,T5OB + 2H$_2$O,TRUE,TRUE,FALSE,bottom,3.5,#b65a85,#b65a85,o
0,27,T5OB-T6OB-6MPS,TRUE,TRUE,TRUE,top,-3.5,#b65a85,#b65a85,o
0,28,T6OB + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
0,29,T6OB + H$_2$O // T6OB,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
0,30,T6OB,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
0,31,T6OB // PDT,FALSE,TRUE,TRUE,top,-1.5,black,black,x
0,32,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
1,18,T4OB,FALSE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
1,19,T4OB // T4OB + H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#2F6800,#2F6800,x
1,20,T4OB + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
1,21,T4OB + H$_2$O // T4OB + 2H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#2F6800,#2F6800,x
1,22,T4OB + 2H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
1,23,T4OB-T4-6MPS,TRUE,TRUE,TRUE,top,-3.5,#2F6800,#2F6800,o
1,24,T4 + B(OH)$_3$ + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
1,25,T4 + B(OH)$_3$ + H$_2$O // T4 + B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#2F6800,#2F6800,x
1,26,T4 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
1,27,T4 + B(OH)$_3$ // T4,FALSE,TRUE,TRUE,top,-1.5,#2F6800,#2F6800,x
1,28,T4,TRUE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
2,24,T5OB + H$_2$O,FALSE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
2,27,T5OB-T6OB-4MPS,TRUE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,o
2,30,T6OB,FALSE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,20,T4OB + H$_2$O,FALSE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
3,23,T4OB-T4-4MPS,TRUE,TRUE,TRUE,bottom,1.5,#2F6800,#2F6800,o
3,26,T4 + B(OH)$_3$,FALSE,TRUE,FALSE,top,-1.5,#2F6800,#2F6800,o
4,28,T4,FALSE,TRUE,FALSE,top,-1.5,#204195,#204195,o
4,30,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
4,32,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o
