line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker
0,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,black,black,o
0,1,Pd-RXT,FALSE,TRUE,TRUE,top,-1.5,black,black,x
0,2,RXT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
1,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,4,RXT-C1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,6,C1,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,8,C1-C2,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,10,C2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
2,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#204195,#204195,o
2,4,RXT-T1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o
2,6,T1,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,8,T1-T2,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o
2,10,T2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,12,T2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,14,T2 + H$_2$O,TRUE,TRUE,FALSE,bottom,2.5,#204195,#204195,o
2,16,T2-T3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,18,T3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,20,T3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,22,T3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,24,T3-T4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,26,T4,TRUE,TRUE,FALSE,bottom,1.5,#204195,#204195,o
2,28,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,30,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
3,10,T2,FALSE,FALSE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,12,T2-T3RH,TRUE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,o
3,14,T3RH,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,16,T3RH-T3OB,TRUE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,o
3,18,T3OB + R-H,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,20,T3OB + R-H // T3OB,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
3,22,T3OB,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,24,T3OB // T3OB + H$_2$O,FALSE,TRUE,TRUE,bottom,1.5,#b65a85,#b65a85,x
3,26,T3OB + H$_2$O,TRUE,FALSE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,28,T3OB + H$_2$O // T3OB + 2H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
3,30,T3OB + 2H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,32,T3OB-2H$_2$O-T4OB,TRUE,TRUE,TRUE,top,-3.5,#b65a85,#b65a85,o
3,34,T4OB + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
3,36,T4OB + H$_2$O // T4OB,FALSE,TRUE,TRUE,top,-1.5,#b65a85,#b65a85,x
3,38,T4OB,FALSE,TRUE,FALSE,top,-1.5,#b65a85,#b65a85,o
4,26,T3OB + H$_2$O,FALSE,TRUE,FALSE,top,-1.5,#8000ff,#8000ff,o
4,32,T3OB-H$_2$O-T4OB,TRUE,TRUE,TRUE,bottom,1.5,#8000ff,#8000ff,o
4,38,T4OB,FALSE,TRUE,FALSE,top,-1.5,#8000ff,#8000ff,o
5,38,T4OB,TRUE,TRUE,FALSE,top,-1.5,black,black,o
5,40,T4OB // PDT,FALSE,TRUE,TRUE,top,-1.5,black,black,x
5,42,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
