line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker
0,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,black,black,o
0,1,Pd-RXT,FALSE,TRUE,TRUE,top,-1.5,black,black,x
0,2,RXT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
1,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,4,RXT-C1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,6,C1,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,8,C1-C2,TRUE,TRUE,TRUE,top,-5.5,#C04A1B,#C04A1B,o
1,10,C2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,12,C2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,14,C2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,16,C2-C3,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o
1,18,C3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,20,C3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,22,C3,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o
1,24,C3-C4,TRUE,TRUE,TRUE,top,-7.5,#C04A1B,#C04A1B,o
1,26,C4,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o
1,28,C4-PDT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x
1,30,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o
2,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#204195,#204195,o
2,4,RXT-T1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o
2,6,T1,TRUE,TRUE,FALSE,bottom,1.5,#204195,#204195,o
2,8,T1-T2,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,10,T2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,12,T2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,14,T2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,16,T2-T3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,18,T3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,20,T3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,22,T3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,24,T3-T4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o
2,26,T4,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o
2,28,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x
2,30,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o
3,10,T2,FALSE,FALSE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,11,T2 // L,FALSE,TRUE,TRUE,top,-1.5,lightseagreen,lightseagreen,x
3,12,T2 + L,TRUE,TRUE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,13,T2-P1,TRUE,TRUE,TRUE,bottom,1.5,lightseagreen,lightseagreen,o
3,14,P1 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,15,P1 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,lightseagreen,lightseagreen,x
3,16,P1,TRUE,TRUE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,17,P1 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,lightseagreen,lightseagreen,x
3,18,P1 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,19,T3-P1,TRUE,TRUE,TRUE,bottom,1.5,lightseagreen,lightseagreen,o
3,20,T3 + L,TRUE,TRUE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
3,21,T3 // L,FALSE,TRUE,TRUE,top,-1.5,lightseagreen,lightseagreen,x
3,22,T3,FALSE,FALSE,FALSE,top,-1.5,lightseagreen,lightseagreen,o
